,MODEL_NAME, CONV, FC, LR, EPSILON, LOSS, FRAME_PER_ACTION, ACTION_PER_TRAIN, N_TRAIN
0,ai_FPA3_3_2_ACC_0003,3,2,0.0001,0.05,0.5,3,10,0
1,ai_FPA3_3_2,3,2,0.0001,0.05,0.5,3,10,0
2,ai_FPA20_3_2,3,2,0.0001,0.05,0.5,20,10,0
3,model1,3,2,1e-06,0.0400133030295098,0.1953861862421036,3,10,4722
4,model2_reduce01_reward100_-1,3,2,1e-05,0.020002195859205558,51.57666397094727,3,10,9440
5,model2_reduce01_reward1_-1,3,2,1e-05,0.020002195859192832,0.4158147573471069,3,10,2382
6,model3-5+3_reduce01_reward1_-1,3,2,0.0001,0.9880657804942092,1.7615622282028198,3,10,11
7,model_game_setup-5+3_reward-1_2,5,3,1e-05,0.02000133406682924,0.18801963329315186,3,10,6858
8,model_5+3_FPA30_APT1,5,3,1e-06,0.02000133406682296,0.4111645221710205,30,1,18765
9,model_5+3_FPA30_APT1_stack10,5,3,1e-05,0.0200009556686888,0.011806829832494259,30,1,24365
10,model_5+3_time_reward,5,3,1e-05,0.02000054805527634,0.03174726665019989,30,1,39593
11,zero,5,3,1e-06,0.02000308789400934,0.00323281972669065,30,1,23431
12,one,5,3,1e-06,0.020000723574292133,0.4844686090946198,10,1,48790
13,one_FPA10,5,3,1e-06,0.020000723574292133,0.267302930355072,10,1,103968
14,titan,5,3,1e-05,0.020000723574292133,0.033343490213155746,10,1,18000
15,evolve,3,2,1e-05,0.050004145355735184,0.004794239532202482,10,1,50771
16,revolve,3,2,1e-06,0.050004145355735184,0.14459040760993958,10,1,15800
17,ab,3,2,1e-06,0.050004145355735184,0.015829702839255333,5,1,76100
18,asye,3,2,1e-06,0.050004145355735184,0.716078519821167,5,1,100600
19,asbyb,3,2,1e-06,0.050004145355735184,0.4399881064891815,5,1,104800
20,hugeR,3,2,1e-05,0.050004145355735184,11.962907791137695,5,1,25600
21,hugeR10,3,2,1e-06,0.1000041505053554,16.153617858886722,7,1,73400
22,punisheR,3,2,1e-06,0.2699244895560891,20.558635711669922,7,1,31100
23,huger_deeper,5,3,0.0001,0.10000699677666806,0.2796141505241394,7,1,41200
24,stand_0,4,4,1e-05,0.10000699677666806,0.5450235009193422,8,1,9900
25,stand_10000,4,4,1e-05,0.10000699677666806,0.5450235009193422,8,1,20000
26,stand_20000,4,4,1e-05,0.10000699677666806,0.5450235009193422,8,1,30000
27,stand_30000,4,4,1e-06,0.10000699677666806,0.4886150360107422,8,1,40000
28,stand_40000,4,4,1e-06,0.10000699677666806,0.4710263311862946,8,1,50000
29,stand_50000,4,4,1e-06,0.10000699677666806,0.4554892480373383,8,1,60000
30,stand_60000,4,4,1e-07,0.10000699677666806,0.5113004446029663,8,1,70000
31,stand_70000,4,4,1e-07,0.10000699677666806,0.39498504996299744,8,1,80000
32,stand_80000,4,4,1e-07,0.10000699677666806,0.3555090725421905,8,1,90000
33,stand_90000,4,4,1e-07,0.10000699677666806,0.3618029057979584,8,1,100000
34,stand_100000,4,4,1e-07,0.10000699677666806,0.3367815911769867,8,1,110000
35,stand_110000,4,4,1e-07,0.10000699677666806,0.3174666166305542,8,1,120000
36,stand_120000,4,4,1e-07,0.10000699677666806,0.399879515171051,8,1,130000
37,stand_130000,4,4,1e-07,0.10000699677666806,0.29184606671333313,8,1,140000
38,stand_140000,4,4,1e-07,0.10000699677666806,0.27430298924446106,8,1,150000
39,stand_150000,4,4,1e-07,0.10000699677666806,0.294234037399292,8,1,160000
40,stand_160000,4,4,1e-07,0.10000699677666806,0.32652080059051514,8,1,170000
41,stand_170000,4,4,1e-07,0.10000699677666806,0.2678234577178955,8,1,180000
42,stand_180000,4,4,1e-07,0.10000699677666806,0.3440918028354645,8,1,190000
43,stand_190000,4,4,1e-07,0.10000699677666806,0.31948262453079224,8,1,200000
44,stand_200000,4,4,1e-07,0.10000699677666806,0.31428688764572144,8,1,210000
45,stand_210000,4,4,1e-07,0.10000699677666806,0.356114000082016,8,1,220000
46,stand_220000,4,4,1e-07,0.10000699677666806,0.31661778688430786,8,1,230000
47,stand_230000,4,4,1e-07,0.10000699677666806,0.3391108512878418,8,1,240000
48,stand_240000,4,4,1e-07,0.10000699677666806,0.26179954409599304,8,1,250000
49,stand_250000,4,4,1e-07,0.10000699677666806,0.32817402482032776,8,1,260000
50,stand_260000,4,4,1e-07,0.10000699677666806,0.29841694235801697,8,1,270000
51,stand_270000,4,4,1e-07,0.10000699677666806,0.8290457725524902,8,1,280000
